Order_ID,Customer_ID,Restaurant_Name,Cuisine_Type,Food_Cost,Delivery_Fee,Total_Order_Cost,Prep_Time_Min,Delivery_Time_Min,Total_Delivery_Time,Order_Rating,Order_Status
ORD1001,CUST214,Spice Symphony,Indian,420,40,460,25,30,55,4.5,Delivered
ORD1002,CUST305,Pizza Bella,Italian,550,50,600,20,25,45,4.8,Delivered
ORD1003,CUST112,Dragon Wok,Chinese,310,30,340,15,35,50,3.9,Delivered
ORD1004,CUST401,Taco Fiesta,Mexican,280,40,320,18,22,40,4.2,Delivered
ORD1005,CUST223,Burger Barn,American,350,30,380,12,28,40,4.0,Delivered
ORD1006,CUST189,Tokyo Treats,Japanese,680,60,740,30,25,55,4.9,Delivered
ORD1007,CUST512,Thai Pavilion,Thai,490,40,530,22,33,55,4.1,Delivered
ORD1008,CUST340,Olive Grove,Mediterranean,520,50,570,25,20,45,4.6,Delivered
ORD1009,CUST105,Spice Symphony,Indian,610,50,660,35,40,75,3.5,Delivered
ORD1010,CUST445,Pizza Bella,Italian,430,40,470,18,27,45,4.4,Delivered
ORD1011,CUST202,Dragon Wok,Chinese,290,30,320,15,30,45,4.0,Delivered
ORD1012,CUST319,Burger Barn,American,380,40,420,14,26,40,4.3,Delivered
ORD1013,CUST158,Taco Fiesta,Mexican,340,30,370,20,25,45,3.8,Delivered
ORD1014,CUST276,Tokyo Treats,Japanese,750,60,810,28,22,50,4.7,Delivered
ORD1015,CUST391,Spice Symphony,Indian,580,50,630,30,45,75,3.2,Delivered
ORD1016,CUST114,Olive Grove,Mediterranean,460,40,500,22,28,50,4.5,Delivered
ORD1017,CUST503,Pizza Bella,Italian,620,50,670,25,35,60,4.1,Delivered
ORD1018,CUST418,Thai Pavilion,Thai,530,40,570,24,31,55,4.3,Delivered
ORD1019,CUST232,Dragon Wok,Chinese,330,30,360,16,24,40,4.6,Delivered
ORD1020,CUST167,Burger Barn,American,270,30,300,10,20,30,4.8,Delivered
ORD1021,CUST309,Taco Fiesta,Mexican,390,40,430,22,38,60,3.7,Delivered
ORD1022,CUST480,Tokyo Treats,Japanese,820,60,880,35,30,65,4.9,Delivered
ORD1023,CUST121,Spice Symphony,Indian,450,40,490,26,34,60,4.2,Delivered
ORD1024,CUST254,Olive Grove,Mediterranean,510,50,560,20,25,45,4.4,Delivered
ORD1025,CUST365,Pizza Bella,Italian,480,40,520,21,29,50,4.5,Delivered
ORD1026,CUST198,Dragon Wok,Chinese,360,30,390,18,32,50,3.9,Delivered
ORD1027,CUST433,Burger Barn,American,410,40,450,15,25,40,4.1,Delivered
ORD1028,CUST289,Thai Pavilion,Thai,550,50,600,26,29,55,4.4,Delivered
ORD1029,CUST142,Taco Fiesta,Mexican,310,30,340,17,23,40,4.3,Delivered
ORD1030,CUST521,Tokyo Treats,Japanese,700,60,760,29,26,55,4.6,Delivered
ORD1031,CUST311,Spice Symphony,Indian,640,50,690,32,48,80,2.9,Delivered
ORD1032,CUST404,Pizza Bella,Italian,530,50,580,23,27,50,4.7,Delivered
ORD1033,CUST175,Olive Grove,Mediterranean,470,40,510,19,31,50,4.2,Delivered
ORD1034,CUST260,Dragon Wok,Chinese,340,30,370,15,25,40,4.5,Delivered
ORD1035,CUST492,Burger Barn,American,320,30,350,12,18,30,4.9,Delivered
ORD1036,CUST138,Thai Pavilion,Thai,480,40,520,21,34,55,4.0,Delivered
ORD1037,CUST377,Taco Fiesta,Mexican,360,40,400,19,26,45,4.1,Delivered
ORD1038,CUST219,Tokyo Treats,Japanese,790,60,850,31,24,55,4.8,Delivered
ORD1039,CUST450,Spice Symphony,Indian,520,40,560,28,32,60,4.3,Delivered
ORD1040,CUST183,Pizza Bella,Italian,460,40,500,20,30,50,4.2,Delivered
ORD1041,CUST326,Olive Grove,Mediterranean,540,50,590,24,26,50,4.6,Delivered
ORD1042,CUST515,Dragon Wok,Chinese,380,40,420,17,38,55,3.6,Delivered
ORD1043,CUST241,Burger Barn,American,290,30,320,11,24,35,4.4,Delivered
ORD1044,CUST109,Thai Pavilion,Thai,600,50,650,27,33,60,4.3,Delivered
ORD1045,CUST472,Taco Fiesta,Mexican,420,40,460,21,29,50,3.9,Delivered
ORD1046,CUST353,Tokyo Treats,Japanese,880,70,950,34,26,60,4.9,Delivered
ORD1047,CUST195,Spice Symphony,Indian,470,40,510,25,35,60,4.1,Delivered
ORD1048,CUST428,Pizza Bella,Italian,590,50,640,24,31,55,4.4,Delivered
ORD1049,CUST267,Olive Grove,Mediterranean,430,40,470,18,22,40,4.7,Delivered
ORD1050,CUST134,Dragon Wok,Chinese,300,30,330,14,26,40,4.2,Delivered
ORD1051,CUST507,Burger Barn,American,360,30,390,13,22,35,4.6,Delivered
ORD1052,CUST380,Thai Pavilion,Thai,510,40,550,23,32,55,4.0,Delivered
ORD1053,CUST226,Taco Fiesta,Mexican,330,30,360,18,27,45,4.2,Delivered
ORD1054,CUST463,Tokyo Treats,Japanese,730,60,790,27,28,55,4.5,Delivered
ORD1055,CUST152,Spice Symphony,Indian,680,60,740,36,44,80,3.1,Delivered
ORD1056,CUST399,Pizza Bella,Italian,510,50,560,22,23,45,4.8,Delivered
ORD1057,CUST281,Olive Grove,Mediterranean,490,40,530,21,29,50,4.3,Delivered
ORD1058,CUST118,Dragon Wok,Chinese,350,30,380,16,29,45,4.1,Delivered
ORD1059,CUST534,Burger Barn,American,400,40,440,16,24,40,4.5,Delivered
ORD1060,CUST362,Thai Pavilion,Thai,540,50,590,25,35,60,3.8,Delivered
ORD1061,CUST208,Taco Fiesta,Mexican,370,40,410,20,25,45,4.4,Delivered
ORD1062,CUST441,Tokyo Treats,Japanese,810,60,870,32,23,55,4.7,Delivered
ORD1063,CUST171,Spice Symphony,Indian,530,50,580,27,38,65,3.9,Delivered
ORD1064,CUST314,Pizza Bella,Italian,470,40,510,19,26,45,4.6,Delivered
ORD1065,CUST486,Olive Grove,Mediterranean,560,50,610,23,27,50,4.5,Delivered
ORD1066,CUST250,Dragon Wok,Chinese,320,30,350,13,22,35,4.8,Delivered
ORD1067,CUST127,Burger Barn,American,340,30,370,12,23,35,4.3,Delivered
ORD1068,CUST519,Thai Pavilion,Thai,460,40,500,22,38,60,3.7,Delivered
ORD1069,CUST394,Taco Fiesta,Mexican,300,30,330,17,28,45,4.0,Delivered
